"text","class"
"  fokus   tokopedia sengaja mengulur  gak  kekeliruan   bukti chat     ","Positive"
"  main tahan dana    tokopedia   bukti smua   cocok","Positive"
" total   x jam  penjualaan selesai dana janji  tokopedia  lwt dr x jamsungguh  gimna   kuatir gimana masyarakat  percaya  janji tokopedia  janji tokopedia selesai tgl oktober jam ","Positive"
"   kupon buah     cashback aja  ","Positive"
" maksudnya gimana gan pembayaran jenis    perbolehkan ","Positive"
" selamat pagi bpk hadi mohon maaf  ketidaknyamanan yg dialami  menindaklanjuti pengaduan tsb  membutuhkan  data  keamanan data yg  mohon kesediaannya mengirimkan pesan  email  mandiricare co id  menghubungi ","Positive"
" utk perihal tsb mohon kesediaan bpk rabie konfirmasi     tokopedia ya tks hana","Positive"
" mohon bpk alfonso  update saldo    atm mandiri edc mandiri  hp android  berfitur nfc ya bpk tks erik","Positive"
"bahagia  sederhana sesederhana bersyukur     miliki  mensyukuri keberadaan       semangatpagi tokopediacarresolusi pusat hasil nya menunggu mulu  gk  barang lg kak tolong donk urusin ","Positive"
"barang   terima  sesuai toped  tips trick biar belanja   nyaman  asik lho mulaiajadulu tokopediacare ","Positive"
" oke makasiih ya","Positive"
"    knp  transaksi digital gak  pake mandiri   bayar listrik pake bank mandiri  toped rtual acc terbatas bank mosok ya sy hrs buka acc bank   biar  nyaman transaksi  toped pindah  toko sebelah aja klo gt  ","Positive"
" ok thank you","Positive"
" halo sy mo tny sy  pembayaran cc td jm tp knp smp skrg statusnya msh ngambang ya  cashback jg blm dikirim pdhl transfer udah berhasil","Positive"
"  khawatir      udin  hati pakai wahana via tokopedmandiri  toped rtual acc terbatas bank mosok ya sy hrs buka acc bank   biar  nyaman transaksi  toped pindah  toko sebelah aja klo gt  ","Positive"
" pembeli  perubahan alamat kirim tp   resi tdk valid","Positive"
" kak mohon direspon  ","Positive"
" min  cashback transaksi sya  msuk  ya sdh x jam stlah pembayaran berhasil","Positive"
" oh emang  error  ya udah gapapa si buyer   ganti  ekspedisi konven  aman hehe makasih infonyaaa","Positive"
"  admin kasih  beda beda gak    cancel transaksinya aja gimana  ","Positive"
" tolong  moderator toped jgn terkesan membela pembeli  pembeli  ceritanya berbeda beda   jujur   menceritakan   yg   kemarin  cerita   bermain nba live  kerja  mnc   adil   blow up ","Positive"
" halo   menghubungi    respon akun  dibobol orang     memegang akses masuknya saldo habis mohon penjelasan  pertanggungjawaban  tokopedia ","Positive"
" emg nih tokopedia    gila suka  seller rugi  biaya ongkir dipotong  barang udh diterima pembeli alesan  resi tdk valid  pembeli udh terima barang hai tokopedia tolong  sadar  seller    ","Positive"
" saldo  rb  toko cash  september      berbelanja mohon bantuannya sdh berkali mencari klik an yg   tdk  makasih ","Positive"
" yg     undangan  kantor tokopedia lupa  acr  skrg ud gasa yaa hehe","Positive"
"  gimana ya penjual  ngasih resi   valid yaa ","Positive"
"    nyoba  semoga berhasil  ketiga kalinya ","Positive"
"  top up emoneynya k  k     bayar pake tokocash k cashbacknya dr k  k ya ","Positive"
"  ga  min cashback top up emoney dihitung dr nominal top up  nominal bayar jk  bayar pake tokocash dr cashback pembelian  ","Positive"
" gimana min   top up emoney k knya bayar pakai tokocash hasil casback pembelian   dpt cashbacknya dr k  k ","Positive"
" ok","Positive"
" halo  sy  transaksi pembelian pulsa digit pembayaran yg  berbeda dr transaksi sesungguhnya  sy  transfer ","Positive"
" transaksi  berhasil  selisih harganya bgm ya ","Positive"
"  ketinggalan   shopee kalo gitu ","Positive"
" kak  gak sih  dagang d tokopedia nge dropship d tokopedia     resi nya   kak   gitu kak dagang d tokopedia  ngedropship d tokopedia ","Positive"
